CD_SETOR,CEP
355030804000053,03479-020
355030804000053,03479-030
355030804000053,03479-040
355030804000054,03479-000
355030804000054,03479-003
355030804000055,03905-000
355030804000055,03905-010
355030804000055,03905-070
355030804000056,03905-020
355030804000057,03904-110
355030804000057,03905-040
355030804000057,03905-110
355030804000057,03911-090
355030804000059,03904-030
355030804000059,03904-050
355030804000059,03904-100
355030804000059,03904-103
355030804000059,03904-130
355030804000059,03911-020
355030804000060,03904-090
355030804000060,03911-015
355030804000060,03911-060
355030804000060,03911-120
355030804000060,03911-130
355030804000061,03384-000
355030804000061,03385-150
355030804000061,03385-160
355030804000063,03462-010
355030804000063,03462-030
355030804000063,03462-040
355030804000063,03462-050
355030804000064,03461-050
355030804000064,03461-060
355030804000064,03461-070
355030804000064,03461-080
355030804000066,03451-050
355030804000066,03451-070
355030804000066,03451-110
355030804000066,03451-130
355030804000067,03431-030
355030804000067,03451-020
355030804000067,03451-030
355030804000067,03451-040
355030804000067,03451-060
355030804000068,03450-080
355030804000068,03451-080
355030804000068,03451-090
355030804000068,03451-100
355030804000068,03458-090
355030804000068,03490-010
355030804000069,03454-060
355030804000070,03455-020
355030804000070,03455-030
355030804000070,03455-040
355030804000070,03455-050
355030804000071,03455-000
355030804000071,03455-060
355030804000071,03455-070
355030804000071,03455-080
355030804000071,03455-090
355030804000072,03456-020
355030804000072,03456-070
355030804000072,03456-080
355030804000072,03456-090
355030804000072,03480-090
355030804000072,03480-100
355030804000072,03480-110
355030804000072,03490-000
355030804000072,03982-030
355030804000072,07480-100
355030804000073,03452-200
355030804000073,03480-000
355030804000073,03480-020
355030804000073,03480-050
355030804000074,03479-050
355030804000074,03479-070
355030804000074,03479-080
355030804000075,03906-060
355030804000075,03906-070
355030804000076,03905-050
355030804000076,03905-090
355030804000077,03905-030
355030804000077,03910-000
355030804000079,03911-040
355030804000079,03911-080
355030804000079,03911-085
355030804000079,03911-155
355030804000079,03911-210
355030804000080,03904-140
355030804000080,03911-010
355030804000080,03912-020
355030804000080,03912-030
355030804000081,03912-000
355030804000081,03912-050
355030804000081,03912-240
355030804000082,03912-120
355030804000082,03912-180
355030804000082,03912-190
355030804000082,03912-210
355030804000082,03912-230
